Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C3,C6,C9",CL10B104KA8NNNC,C1590,3
100,"R3,R4",RESC1508X55N,C305084,2
100K,R5,RC0805FR-07100KL,C96346,1
100uF,C1,CAPC3225X280N,C23742,1
10K,"R7,R8",AF0805FR-0710KL,C192906,2
10uF,"C2,C7",CL10A106KP8NNNC,C19702,2
1uF,"C4,C5",GRM188R71A105KA61D,C97888,2
2171790001,J1,2171790001_MOL,C45082768,1
3034,BT1,BAT_3034,C5213768,1
5.1K,"R1,R2",RC0603FR-075K1L,C105580,2
AP2112K-3.3TRG1,U2,SOT95P285X140-5N,C51118,1
ESP32-S3-MINI-1-N8,U3,ESP32-S3-MINI-1-N8,C2913206,1
TLSMDT3C020GLFS,"SW2,SW3",TS-1088-AR02016,C720477,2
TPS2121RUXR,U_PWR1,IC_TPS2121RUXR,C485916,1
