Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,3034,BAT_3034,183.0,-102.5,90.0,bottom
C1,100uF,CAPC3225X280N,174.5,-78.0,270.0,bottom
C2,10uF,CL10A106KP8NNNC,172.5,-85.0,270.0,bottom
C3,0.1uF,CL10B104KA8NNNC,178.5,-77.5,270.0,bottom
C4,1uF,GRM188R71A105KA61D,180.5,-84.5,270.0,bottom
C5,1uF,GRM188R71A105KA61D,165.5,-80.0,90.0,bottom
C6,0.1uF,CL10B104KA8NNNC,165.28,-92.5,0.0,bottom
C7,10uF,CL10A106KP8NNNC,166.0,-95.5,0.0,bottom
C9,0.1uF,CL10B104KA8NNNC,189.45,-87.9,180.0,bottom
J1,2171790001,2171790001_MOL,187.299251,-81.1,90.0,top
R1,5.1K,RC0603FR-075K1L,181.5,-81.0,270.0,bottom
R2,5.1K,RC0603FR-075K1L,182.0,-77.35,90.0,bottom
R3,100,RESC1508X55N,161.2,-99.65,180.0,bottom
R4,100,RESC1508X55N,160.5,-79.0,180.0,bottom
R5,100K,RC0805FR-07100KL,167.0,-84.455,90.0,bottom
R7,10K,AF0805FR-0710KL,168.0,-89.5,90.0,bottom
R8,10K,AF0805FR-0710KL,182.75,-89.4,180.0,bottom
SW2,TLSMDT3C020GLFS,TS-1088-AR02016,172.7,-89.5133,180.0,bottom
SW3,TLSMDT3C020GLFS,TS-1088-AR02016,170.4,-95.05,270.0,bottom
U2,AP2112K-3.3TRG1,SOT95P285X140-5N,176.5,-84.5,0.0,bottom
U3,ESP32-S3-MINI-1-N8,ESP32-S3-MINI-1-N8,178.799999,-105.750001,0.0,top
U_PWR1,TPS2121RUXR,IC_TPS2121RUXR,169.0,-79.6,270.0,bottom
